ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseDaggerRank,baseStoneRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
Troubadour,0x2ea,0x336,0x4b,0x4c,0x3c,0x0,0x82,0x19,15,1,1,3,2,5,5,6,60,20,20,20,20,20,25,2,50,25,35,55,12,40,45,0,0,0,0,0,0,0x403,0,0,0,0,31,0,0,0,0x88af504,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0
Valkyrie,0x2eb,0x337,0x4c,0x4b,0x3d,0x0,0x83,0x1a,19,4,3,5,4,8,6,7,60,25,24,25,24,28,25,3,45,35,25,45,10,40,40,3,2,1,0,2,3,0x503,0,0,0,0,31,0,31,0,0x88af510,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0
Dancer,0x2ec,0x338,0x4d,0x0,0x3e,0x0,0x8b,0x2a,14,1,2,7,0,1,4,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,0x10,0,0,0,0,0,0,0,0,0x88af528,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Soldier,0x2ed,0x339,0x4e,0x0,0x3f,0x0,0x8a,0x0,20,3,0,1,0,0,6,5,60,20,20,20,20,20,20,2,80,50,30,20,12,15,25,0,0,0,0,0,0,0x0,0,1,0,0,0,0,0,0,0x88af53c,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Necromancer,0x2ef,0x33b,0x4f,0x2d,0x40,0x0,0x7f,0x2b,18,9,4,5,3,8,7,6,80,30,25,25,30,30,25,3,45,55,30,25,10,35,20,0,0,0,0,0,0,0x8000100,0,0,0,0,251,0,0,251,0x88af548,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0
Fleet,0x2f0,0x33c,0x50,0x0,0x41,0x0,0x92,0x0,19,1,1,2,5,0,25,3,60,20,20,20,30,20,25,3,75,35,40,32,15,15,15,0,0,0,0,0,0,0x0,0,0,0,71,0,0,0,0,0x0,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0
Phantom,0x2f1,0x33d,0x51,0x0,0x42,0x0,0x98,0x1e,1,5,2,4,0,0,11,5,1,20,20,20,0,0,20,3,0,55,35,45,15,15,50,0,0,0,0,0,0,0x0,0,0,71,0,0,0,0,0,0x0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Revenant,0x2f2,0x33e,0x52,0x53,0x43,0x0,0x99,0x0,25,2,0,0,0,0,6,4,60,20,20,20,20,20,20,3,95,50,30,20,10,13,10,0,0,0,0,0,0,0x40000,0,0,0,0,0,0,0,0,0x88af560,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Entombed,0x2f3,0x33f,0x53,0x52,0x44,0x0,0x9a,0x0,35,3,0,1,0,0,6,5,80,25,22,21,24,22,25,1,85,40,25,17,10,13,50,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af56c,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Bonewalker,0x2f4,0x340,0x54,0x56,0x45,0x0,0x9b,0x0,20,4,2,3,3,0,7,5,60,20,20,20,20,20,20,3,80,50,30,20,12,15,10,0,0,0,0,0,0,0x20000,71,71,0,0,0,0,0,0,0x88af578,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Bonewalker (Bow),0x2f4,0x340,0x55,0x57,0x46,0x0,0x9b,0x0,18,4,3,2,3,0,6,5,60,20,20,20,20,20,20,3,70,35,40,32,15,15,10,0,0,0,0,0,0,0x0,0,0,0,71,0,0,0,0,0x88af588,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Wight,0x2f5,0x341,0x56,0x54,0x47,0x0,0x9c,0x0,21,7,5,6,5,2,9,6,60,24,28,26,22,23,25,3,65,25,25,20,15,22,10,0,0,0,0,0,0,0x20100,181,181,0,0,0,0,0,0,0x88af594,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Wight (Bow),0x2f5,0x341,0x57,0x55,0x48,0x0,0x9c,0x0,21,6,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,10,0,0,0,0,0,0,0x100,0,0,0,181,0,0,0,0,0x88af5a4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Bael,0x2f6,0x342,0x58,0x59,0x49,0x0,0x9d,0x0,25,6,3,3,6,1,12,5,60,30,28,26,26,22,25,3,82,50,30,20,18,13,15,0,0,0,0,0,0,0x40000,0,0,0,0,0,0,0,0,0x88af5b0,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,142657023
Elder Bael,0x2f7,0x343,0x59,0x58,0x4a,0x0,0x9e,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af5bc,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,142657023
Cyclops,0x2f8,0x344,0x5a,0x9,0x4b,0x0,0x9f,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,0x100,0,0,181,0,0,0,0,0,0x88af5c8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0
Mauthe Doog,0x2f9,0x345,0x5b,0x5c,0x4c,0x0,0xa0,0x0,16,4,10,10,2,0,6,7,60,20,20,20,20,20,20,3,70,35,45,45,15,20,30,0,0,0,0,0,0,0x40000,0,0,0,0,0,0,0,0,0x88af5e0,0x880bb14,0x880bf65,0x880c375,0x880c479,0x880c4ba,0x880c4fb,0
Gwyllgi,0x2fa,0x346,0x5c,0x5b,0x4d,0x0,0xa1,0x0,21,6,12,12,5,2,8,8,60,24,29,30,22,23,20,3,65,28,35,35,16,22,25,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af5ec,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0
Tarvos,0x2fb,0x347,0x5d,0x5e,0x4e,0x0,0xa2,0x0,21,6,2,5,7,0,10,7,60,20,20,20,20,20,20,3,80,35,40,28,15,15,10,0,0,0,0,0,0,0x0,0,0,71,0,0,0,0,0,0x88af5f8,0x880bb14,0x880bf65,0x880c375,0x880c479,0x880c4ba,0x880c4fb,0
Maelduin,0x2fc,0x348,0x5e,0x5d,0x4f,0x0,0xa3,0x0,25,8,4,7,9,3,12,8,80,25,26,24,25,25,25,3,75,30,30,18,13,20,10,0,0,0,0,0,0,0x100,0,0,181,181,0,0,0,0,0x88af610,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0
Mogall,0x2fd,0x349,0x5f,0x60,0x50,0x0,0xa4,0x0,15,2,1,2,2,4,4,5,60,20,20,20,20,20,20,3,50,45,32,30,10,28,30,0,0,0,0,0,0,0x40000,0,0,0,0,0,0,0,71,0x88af62c,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Arch Mogall,0x2fe,0x34a,0x60,0x5f,0x51,0x0,0xa5,0x0,17,6,3,3,3,7,5,6,60,29,26,26,20,29,20,3,45,55,30,25,10,28,20,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,181,0x88af640,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Gorgon,0x2ff,0x34b,0x61,0x5f,0x52,0x0,0xa6,0x0,19,8,3,4,5,7,11,6,60,29,26,26,21,28,25,3,45,60,30,25,10,40,30,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,181,0x88af654,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0
Gorgon Egg,0x300,0x34c,0x62,0x0,0x53,0x0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Gargoyle,0x301,0x34d,0x63,0x64,0x54,0x0,0xa7,0x0,19,6,3,6,6,0,8,6,60,20,20,20,20,20,20,3,80,45,35,35,25,15,10,0,0,0,0,0,0,0x0,0,71,0,0,0,0,0,0,0x88af668,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Deathgoyle,0x302,0x34e,0x64,0x63,0x55,0x0,0xa8,0x0,23,8,5,8,9,1,11,7,60,27,25,23,28,22,25,3,75,40,30,25,20,17,10,0,0,0,0,0,0,0x100,0,181,0,0,0,0,0,0,0x88af674,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Dracozombie,0x303,0x34f,0x65,0x1f,0x56,0x0,0xa9,0x0,53,1,0,1,0,3,25,5,100,50,50,50,50,50,25,3,85,35,20,20,30,10,25,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af680,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Demon King,0x304,0x350,0x66,0x1f,0x57,0x0,0xaa,0x0,120,23,20,18,25,25,25,2,120,50,50,50,50,50,25,5,95,40,30,20,20,20,25,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af68c,0x880bbd7,0x880bbd7,0x880bbd7,0x880c479,0x880c4ba,0x880c4fb,0
Archer on Ballista,0x0,0x0,0x67,0x0,0x58,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Archer on Iron Ballista,0x0,0x0,0x68,0x0,0x59,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Archer on Killer Ballista,0x0,0x0,0x69,0x0,0x5a,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Ballista,0x0,0x0,0x6a,0x0,0x5b,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Iron Ballista,0x0,0x0,0x6b,0x0,0x5c,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Killer Ballista,0x0,0x0,0x6c,0x0,0x5d,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Civilian,0x305,0x351,0x6d,0x0,0x5e,0x1,0x5e,0x0,8,1,0,0,0,0,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Civilian (F),0x305,0x351,0x6e,0x0,0x5f,0x1,0x63,0x0,7,0,0,0,0,1,3,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Civilian,0x305,0x351,0x6f,0x0,0x60,0x1,0x59,0x0,10,0,1,0,0,2,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Civilian (F),0x305,0x351,0x70,0x0,0x61,0x1,0x62,0x0,9,0,1,0,0,1,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Civilian,0x305,0x351,0x71,0x0,0x60,0x1,0x5c,0x0,12,3,0,0,2,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Civilian (F),0x305,0x351,0x72,0x0,0x61,0x1,0x61,0x0,10,0,1,0,1,1,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Peer,0x0,0x0,0x73,0x0,0x62,0x1,0x1,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Queen,0x307,0x353,0x74,0x0,0x63,0x1,0x1,0x0,10,0,0,0,0,0,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Prince,0x0,0x0,0x75,0x0,0x64,0x1,0x1,0x0,10,0,0,0,0,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Queen,0x307,0x353,0x76,0x0,0x65,0x1,0x1,0x0,10,0,0,0,0,0,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
(empty),0x0,0x0,0x77,0x0,0x66,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0
Fallen Prince,0x0,0x0,0x78,0x0,0x67,0x1,0x1,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Tent,0x0,0x0,0x79,0x0,0x68,0x1,0x1,0x0,15,0,3,3,3,0,25,0,60,20,20,20,20,20,25,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x100200,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Pontifex,0x306,0x352,0x7a,0x0,0x69,0x1,0x1,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Dead Peer,0x0,0x0,0x7b,0x0,0x6a,0x1,0x1,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0
Cyclops,0x2f8,0x344,0x7c,0x9,0x4b,0x0,0x9f,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,0x100,0,0,251,0,0,0,0,0,0x88af6a4,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0
Elder Bael,0x2f7,0x343,0x7d,0x58,0x4a,0x0,0x9e,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,0x40100,0,0,0,0,0,0,0,0,0x88af6bc,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,142657023
Journeyman (2),0x2d8,0x324,0x7e,0x38,0x2d,0x0,0x74,0x27,20,5,3,4,2,1,8,5,60,20,20,20,20,20,20,3,85,55,40,32,18,20,40,2,0,2,0,2,2,0x0,0,0,31,0,0,0,0,0,0x88af6c8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0
Pupil (2),0x2d9,0x325,0x7f,0x39,0x2e,0x0,0x7c,0x29,17,2,3,3,3,3,5,5,60,20,20,20,20,20,20,3,55,55,40,35,10,30,40,2,1,1,0,2,2,0x0,0,0,0,0,0,31,0,0,0x88af6e0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0
128,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,3,4,4,0x10000,1,0,0,0,0,0,0,0,0x0,0x55a052e,0xa1100,0x1,0x1,0x4050355,0x20000,1
129,0x0,0x0,0x0,0x0,0x0,0x0,0x31e,0x64,2,5,17,16,0,1,1,0,0,1,0,0,0,86,3,6,4,0,0,3,0,1,0,0,0,0,0,0,0,0x0,30,8,75,10,0,17,20,0,0x21f,0x1,0x4070357,0x40000,0x1,0x0,0x0,139463956
130,0x1100,0x4b,0xb5,0x3,0x0,0x0,0x1,0x0,0,88,3,8,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,35,9,70,12,0,17,28,0,0x41f,2,0,0,0,89,3,9,4,0x60000,0x1,0x0,0x0,0xe410b19,0x321100,0x547,2
131,0x35a,0x40a,0x0,0x0,0x7,0x0,0x1,0x0,0,0,0,0,0,0,0,0,0,15,14,60,13,0,17,120,0,-75,6,0,0,2,0,0,0,91,3,11,4,0x80000,1,0,0,0,0,0,0,0,0x0,0x6460328,0x1100,0x100071f,0x1,0x40c035c,0x90000,262161
132,0x0,0x0,0xc2,0xde,0x8a,0x8,0x728,0x5f,5,10,17,-106,0,0,8,0,0,2,0,0,0,3,4,-85,4,0,0,10,0,17,0,16,0,0,0,0,0,0x88adec2,45,8,80,3,20,17,0,0,0x900,0x2,0x40d035d,0xb0000,0x21,0x0,0x0,206244126
133,0x1100,0xfa,0x79,0xa,0x0,0x0,0x1,0x0,0,94,3,14,4,0,0,12,0,1,16,0,0,0,0,0,0,0,0,0,0,20,8,75,5,35,17,60,0,0xb21f,1,0,0,0,95,3,15,4,0xd0000,0x1,0x0,0x0,0x74b0914,0x41111e,0xc47,1
134,0x360,0x410,0x0,0x0,0xe,0x0,0x1,0x0,0,0,0,0,0,-69,-34,-118,8,18,8,80,11,0,17,70,0,31,13,0,0,1,0,0,0,97,3,17,4,0xf0000,1,0,0,0,0,0,0,0,0x88adf13,0x54b081e,0x961100,0xe47,0x1,0x4120362,0x100000,65
135,0x0,0x0,0x0,0x0,0x0,0x0,0x919,0x46,9,0,18,50,0,71,15,0,0,1,0,0,0,99,3,19,4,0,0,17,0,65,0,0,0,0,0,0,0,0x0,15,12,65,11,0,18,220,0,0x20010b5,0x1,0x4140364,0x120000,0x101,0x0,0x0,155912463
136,0x1105,0x78,0x47,0x11,0x0,0x0,0x2,0x0,0,101,3,21,4,0,0,19,0,1,0,0,0,0,0,0,0,-32,-34,-118,8,18,6,85,11,0,17,70,0,0x121f,1,0,0,0,105,3,25,4,0x1140000,0x1,0x0,0x0,0x850072d,0x81100,0x1301,1
137,0x36a,0x41a,0x0,0x0,0x15,0x1,0x1,0x0,0,0,0,0,0,0,0,0,0,30,4,85,4,5,17,15,0,1,20,0,0,1,0,0,0,107,3,27,4,0x1160000,1,0,0,0,0,0,0,0,0x0,0xd460a1e,0x101100,0x151f,0x2,0x41c036c,0x1170000,1
138,0x0,0x0,0x0,0x0,0x0,0x0,0xe14,0x4b,10,0,17,60,0,-75,22,0,0,1,0,0,0,109,3,29,4,0,0,24,1,1,0,0,0,0,0,0,0,0x0,40,4,65,8,0,17,0,0,0x1001701,0x1,0x41e036e,0x1190000,0x21,0x0,0x0,239471134
139,0x1100,0xfa,0x79,0x18,0x0,0x0,0x1,0x0,0,111,3,31,4,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,20,10,70,9,30,17,60,0,0x1947,1,0,0,0,112,3,32,4,0x11b0000,0x1,0x0,0x88adee0,0xd460710,0x411100,0x1a1f,1
140,0x371,0x421,0x0,0x0,0x1c,0x1,0x1,0x0,0,0,0,0,0,0,0,0,0,20,6,65,11,0,18,20,0,1,27,0,0,1,0,0,0,114,3,34,4,0x11d0000,1,0,0,0,0,0,0,0,0x0,0xa460c0f,0x2581205,0x1c79,0x1,0x4230373,0x11e0000,257
141,0x0,0x0,0x0,0x0,0x0,0x0,0xa0f,0x46,11,5,17,-126,0,71,29,0,0,2,0,0,0,122,3,42,4,0,0,31,2,1,0,0,0,0,0,0,0,0x0,45,8,75,10,0,17,6,0,0x1e01,0x1,0x42b037b,0x2200000,0x1,0x0,0x0,255920926
142,0x1100,0xc,0x1,0x1f,0x0,0x0,0x2,0x0,0,124,3,44,4,0,0,33,2,1,0,0,0,0,0,0,0,0,0,0,0,20,15,70,12,0,17,50,0,0x20b5,1,0,0,0,125,3,45,4,0x2220000,0x1,0x0,0x0,0xa3c0428,0x1100,0x100211f,1
143,0x37e,0x42e,0x0,0x0,0x23,0x2,0x21,0x0,0,0,0,0,0,0,0,0,0,30,10,65,16,0,17,-6,0,121,34,0,0,1,0,0,0,127,3,47,4,0x2240000,1,0,0,0,0,0,0,0,0x0,0xb410b14,0x32111e,0x2347,0x1,0x4300380,0x2250000,1
144,0x0,0x0,0xe0,0xde,0x8a,0x8,0xa12,0x3c,15,0,17,45,0,31,36,0,0,1,0,0,0,-127,3,49,4,0,0,38,2,1,0,0,0,0,0,0,0,0x88adebb,20,10,55,15,0,17,40,0,0x251f,0x2,0x4320382,0x2270000,0x1,0x0,0x0,305598996
145,0x1100,0x2d,0x1,0x26,0x0,0x4,0x8,0x0,0,-125,3,51,4,0,0,40,2,1,0,0,0,0,0,0,0,0,0,0,0,20,7,60,12,0,18,15,0,0x2701,1,0,0,0,132,3,52,4,0x2290000,0x1,0x0,0x0,0xe410d0f,0xc81200,0x28b5,1
146,0x385,0x435,0x0,0x0,0x2a,0x2,0x101,0x0,0,0,0,0,0,0,0,0,0,15,11,65,13,5,17,-116,0,71,41,0,0,2,0,0,0,-122,3,54,4,0x22b0000,1,1,0,0,0,0,0,0,0x88aded7,0xd500b14,0x641105,0x2a47,0x1,0x43a038a,0x22c0000,1
147,0x0,0x0,0x0,0x0,0x0,0x0,0x432,0x55,5,0,18,0,0,1,-71,0,0,1,0,0,0,-117,3,59,4,0,0,45,3,1,0,0,0,0,0,0,0,0x88adf2a,45,6,85,5,0,34,12,0,0x2b01,0x1,0x43c038c,0x32e0000,0x1,0x0,0x88adf2a,155584798
148,0x2200,0x18,0x1f,0x2c,0x0,0x0,0x1,0x0,0,-115,3,61,4,0,0,47,3,1,0,0,0,0,0,0,0,42,-33,-118,8,20,13,75,6,0,34,80,0,0x2db5,1,0,0,0,142,3,62,4,0x3300000,0x1,0x0,0x88adf2a,0x5410428,0x2200,0x1002e1f,1
149,0x38f,0x43f,0x0,0x0,0x31,0x3,0x1,0x0,0,0,0,0,0,42,-33,-118,8,20,9,75,7,30,34,70,0,71,47,0,0,1,0,0,0,-112,3,64,4,0x3320000,33,0,0,0,0,0,0,0,0x88adf2a,0xc460a1e,0xfa2200,0x3079,0x1,0x4410391,0x3330000,1
150,0x0,0x0,0x2a,0xdf,0x8a,0x8,0x516,0x55,3,10,34,80,0,31,49,0,0,2,0,0,0,-110,3,66,4,0,0,52,3,1,0,0,0,0,0,0,0,0x88adf2a,20,5,65,10,0,35,100,0,0x321f,0x1,0x4430393,0x3350000,0x81,0x0,0x88adf2a,339478533
151,0x3a00,0x0,0x1,0x33,0x0,0x0,0x4,0x0,0,-108,3,68,4,0,0,54,3,-127,0,0,0,0,0,0,0,42,-33,-118,8,5,13,60,20,0,63,0,0,0x3401,4,0,0,0,149,3,69,4,0x3370000,0x81,0x0,0x88adf2a,0x14410c05,0x3a0a,0x3501,4
152,0x3a9,0x458,0x0,0x0,0x38,0x5,0x3,0x0,0,0,0,0,0,0,0,0,0,40,5,90,4,0,18,14,0,1,54,0,0,1,0,0,0,-86,3,89,4,0x5390000,3,0,0,0,0,0,0,0,0x0,0x6500823,0x141205,0x371f,0x1,0x45a03ab,0x53a0000,3
153,0x0,0x0,0x0,0x0,0x0,0x0,0xa1e,0x55,10,0,18,40,0,71,56,0,0,2,0,0,0,-83,3,92,4,0,0,59,5,-125,0,0,0,0,0,0,0,0x0,5,12,60,20,0,58,244,1,0x3979,0x1,0x45d03ae,0x53c0000,0x3,0x0,0x0,206572820
154,0x1200,0x12c,0xb5,0x3a,0x0,0x0,0x1,0x0,0,3,4,-85,4,0,0,61,5,3,0,0,0,0,0,0,0,0,0,0,0,20,14,85,11,5,18,0,0,0x3bfb,1,0,0,0,175,3,94,4,0x53e0000,0x13,0x88aeec4,0x88adf39,0xd5a121e,0x120a,0x3cfb,1
155,0x3b0,0x45f,0x0,0x0,0x3f,0x6,0x3,0x0,0,0,0,0,0,0,0,0,0,35,4,95,6,5,18,18,0,1,61,0,0,1,0,0,0,-79,3,96,4,0x6400000,3,0,0,0,0,0,0,0,0x0,0x85a061e,0x1e1208,0x3e1f,0x2,0x46103b2,0x6410000,3
156,0x0,0x0,0x0,0x0,0x0,0x0,0x819,0x55,12,10,18,100,0,71,63,0,0,1,0,0,0,-77,3,98,4,0,0,66,6,-125,0,0,0,0,0,0,0,0x0,5,10,75,20,5,58,88,2,0x4079,0x3,0x46303b4,0x6430000,0x3,0x0,0x0,257231892
